Incremental transfer (MW),Branch flow (MVA),Branch flow (MVA) ,Bus voltage group
0,447,166,0
500,445,166,0
1000,442,168,0
1500,440,170,0
2000,439,172,0
2500,435,172,0
3000,432,176,0
3500,429,185,0
4000,426,191,0
4500,423,197,0
5000,420,204,0
5500,417,212,1
6000,413,220,1
6500,410,229,1
7000,406,238,1
7500,403,248,1
8000,398,260,1
8500,393,272,1
9000,389,284,1
9500,384,297,1
10000,379,311,1
10500,373,326,1
11000,368,341,1
11500,362,356,1
12000,356,372,1
12500,349,390,1
13000,342,408,1
13500,335,427,1
14000,327,448,1
14250,320,464,1
14313,315,473,1
0,495,197,0
500,491,191,0
1000,487,185,0
1500,483,180,0
2000,479,176,0
2500,475,173,0
3000,471,171,0
3500,466,170,0
4000,461,171,0
4500,456,172,0
5000,451,175,1
5500,446,180,1
6000,441,186,1
6500,435,193,1
7000,429,201,1
7500,423,213,1
8000,417,225,1
8500,410,239,1
9000,403,254,1
9500,396,271,1
10000,389,288,1
10500,381,306,1
11000,373,326,1
11500,365,347,1
12000,357,369,1
12500,348,393,1
13000,339,418,1
13500,330,446,1
14000,320,476,1
14176,315,491,1
14220,311,499,1
14242,310,503,1
0,426,191,1
500,423,191,1
1000,419,194,1
1500,416,197,1
2000,412,202,1
2500,408,208,1
3000,404,215,1
3500,400,224,1
4000,396,233,1
4500,391,243,1
5000,387,254,1
5500,382,266,1
6000,377,278,1
6500,372,291,1
7000,367,305,1
7500,361,320,1
8000,356,335,1
8500,350,350,1
8750,347,358,1
8876,345,362,1
8938,344,364,1
8969,344,366,1
89768,344,366,1
0,358,695,0
500,377,707,0
1000,396,720,0
1500,416,732,0
2000,435,745,0
2500,454,759,0
3000,474,772,0
3500,493,786,0
4000,513,800,0
4500,532,814,0
5000,552,828,0
5500,571,843,0
6000,591,857,0
6500,610,873,0
7000,630,888,0
7500,649,905,0
8000,669,923,0
8500,689,942,0
9000,709,961,0
9500,727,982,0
10000,749,1004,0
10500,770,1027,0
11000,770,1052,0
11500,790,1079,0
12000,811,1107,0
12500,853,1139,1
13000,875,1174,1
13500,897,1214,1
14000,921,1262,1
14250,932,1285,1
14313,933,1286,1
14344,933,1287,1
14352,933,1287,1
0,393,660,0
500,411,708,0
1000,430,721,0
1500,448,734,0
2000,467,747,0
2500,486,760,0
3000,504,773,0
3500,523,787,0
4000,541,801,0
4500,560,815,0
5000,578,829,0
5500,596,844,0
6000,615,858,0
6500,633,874,0
7000,651,889,0
7500,669,906,0
8000,688,924,0
8500,706,943,0
9000,721,963,0
9500,742,984,0
10000,761,1005,0
10500,779,1029,0
11000,797,1053,0
11500,815,1080,0
12000,834,1109,0
12500,853,1141,1
13000,872,1177,1
13500,891,1217,1
14000,911,1266,1
14176,917,1284,1
14220,917,1284,1
14242,917,1285,1
0,373,719,0
500,391,730,0
1000,410,741,0
1500,430,753,0
2000,449,766,0
2500,469,780,0
3000,490,794,0
3500,510,808,0
4000,530,823,0
4500,551,839,0
5000,572,856,0
5500,592,873,0
6000,513,891,0
6500,634,910,0
